T (K),U1,U2,U3,F1,F2,F3,S1,S2,S3
300.0,0.0,1.1830490075928352e-24,6.236244143899274e-22,-1.093083558922793e-20,-7.421481988954926e-21,-5.931939537137586e-21,3.643611863075977e-23,2.4742216793208396e-23,2.1851879838425046e-23
317.17171717171715,0.0,2.126461640914961e-24,7.554872021305553e-22,-1.1556506313190472e-20,-7.846372714403716e-21,-6.310820315607068e-21,3.643611863075977e-23,2.4745268102815877e-23,2.2279122428535818e-23
334.34343434343435,0.0,3.5987229635059934e-24,8.988516946692503e-22,-1.2182177037153014e-20,-8.271327835364752e-21,-6.697154367833483e-21,3.643611863075977e-23,2.474978034061926e-23,2.271917221111089e-23
351.5151515151515,0.0,5.7850504510446224e-24,1.05257949555577e-21,-1.2807847761115554e-20,-8.696375782908823e-21,-7.091121595340306e-21,3.643611863075977e-23,2.4756147198351348e-23,2.3167425517204355e-23
368.6868686868687,0.0,8.897154292849177e-24,1.2154360426348888e-21,-1.3433518485078097e-20,-9.121551919105472e-21,-7.49282608125266e-21,3.643611863075977e-23,2.4764779678532433e-23,2.3619669870270335e-23
385.85858585858585,0.0,1.3168678342687665e-23,1.3861424466301304e-21,-1.4059189209040638e-20,-9.546898702808973e-21,-7.902303434421878e-21,3.643611863075977e-23,2.477609085691137e-23,2.4072150320003896e-23
403.030303030303,0.0,1.884972677638516e-23,1.563418838153715e-21,-1.4684859933003178e-20,-9.972465600845842e-21,-8.319528952183796e-21,3.6436118630759764e-23,2.4790481639964928e-23,2.452159978053668e-23
420.2020202020202,0.0,2.6200925299092058e-23,1.7460188151103928e-21,-1.531053065696572e-20,-1.0398308769483004e-20,-8.744426052494013e-21,3.643611863075977e-23,2.4808328360178544e-23,2.4965241391654712e-23
437.3737373737374,0.0,3.548740967049589e-23,1.932755365574155e-21,-1.5936201380928263e-20,-1.0824490542303713e-20,-9.176874561381152e-21,3.643611863075977e-23,2.482997268465235e-23,2.540077050273846e-23
454.54545454545456,0.0,4.6973056429800214e-23,2.1225191193557694e-21,-1.6561872104890806e-20,-1.125107876607456e-20,-9.616718564306879e-21,3.643611863075977e-23,2.4855714009509593e-23,2.5826322904057826e-23
471.7171717171717,0.0,6.091518737388756e-23,2.314290023627098e-21,-1.7187542828853346e-20,-1.1678146027104528e-20,-1.0063773633644225e-20,3.643611863075977e-23,2.488580428765232e-23,2.6240434733830002e-23
488.8888888888889,0.0,7.755990111769974e-23,2.5071436112201208e-21,-1.7813213552815888e-20,-1.210576880830871e-20,-1.0517833327253608e-20,3.643611863075977e-23,2.492044508746311e-23,2.6641998283241715e-23
506.06060606060606,0.0,9.713811768059276e-23,2.7002529920399382e-21,-1.8438884276778428e-20,-1.2534026612888962e-20,-1.0978674916007931e-20,3.643611863075977e-23,2.4959786593341036e-23,2.703021682428621e-23
523.2323232323232,0.0,1.1986236775387276e-22,2.8928875936544062e-21,-1.906455500074097e-20,-1.2963001085193275e-20,-1.1446064343511784e-20,3.643611863075977e-23,2.5003928220883543e-23,2.740456065211299e-23
540.4040404040404,0.0,1.459243171280769e-22,3.0844095397920313e-21,-1.9690225724703514e-20,-1.3392775153626535e-20,-1.1919760452165938e-20,3.643611863075977e-23,2.5052920515975823e-23,2.776472577951101e-23
557.5757575757576,0.0,1.7549298743888498e-22,3.2742684080706976e-21,-2.0315896448666056e-20,-1.3823432214944122e-20,-1.2399518529172294e-20,3.643611863075977e-23,2.5106768026012998e-23,2.8110596137446666e-23
574.7474747474748,0.0,2.0871361508849075e-22,3.4619949654035546e-21,-2.09415671726286e-20,-1.4255055374168213e-20,-1.2885093236814912e-20,3.643611863075977e-23,2.5165432863557355e-23,2.844220970157518e-23
591.9191919191919,0.0,2.457070789311235e-22,3.647194349614122e-21,-2.156723789659114e-20,-1.4687726749887664e-20,-1.3376240995746099e-20,3.6436118630759776e-23,2.522883872104198e-23,2.875972865513075e-23
609.0909090909091,0.0,2.8656982220335e-22,3.8295390529035194e-21,-2.219290862055368e-20,-1.512152685089955e-20,-1.387272188997235e-20,3.6436118630759776e-23,2.529687513494506e-23,2.9063413488303666e-23
626.2626262626263,0.0,3.3137419359388676e-22,4.0087619681085885e-21,-2.2818579344516224e-20,-1.5556534027021417e-20,-1.4374301159274397e-20,3.6436118630759776e-23,2.5369401836143787e-23,2.935360080017605e-23
